query_id,query,category,expected_docs,retrieved_docs,relevant_found,moderate_found,first_relevant_rank,precision_at_k,recall,ndcg_at_k,hit
Q001,Qual artigo trata da proposta de cartas de corredores visuais?,retrieval,ICA-96-1-art563:relevant,ICA-96-1-art248:0.564;ICA-96-1-art96:0.552;ICA-63-46-art91:0.547;ICA-96-1-art563:0.542;ICA-100-31-art199:0.540,ICA-96-1-art563,,4,0.2000,1.0000,0.4307,True
Q002,Como solicitar divulgação de informação aeronáutica?,retrieval,ICA-96-1-art563:relevant;ICA-96-1-art591:moderate,ICA-53-4-art1:0.654;ICA-100-37-art570:0.622;ICA-102-16-art552:0.609;ICA-100-37-art748:0.602;ICA-53-8-art178:0.601,,,N/A,0.0000,0.0000,0.0000,False
Q003,Quais informações cada tipo de carta aeronáutica fornece?,retrieval,ICA-96-1-art12:relevant,ICA-105-17-art260:0.664;ICA-53-7-art27:0.642;ICA-105-17-art262:0.632;ICA-100-37-art14:0.621;ICA-100-37-art754:0.621,,,N/A,0.0000,0.0000,0.0000,False
Q004,O que diz sobre representação de obstáculos na vista de planta da carta?,retrieval,ICA-96-1-art248:relevant;ICA-96-1-art255:moderate,ICA-96-1-art248:0.636;ICA-96-1-art255:0.619;ICA-100-37-art735:0.595;ICA-96-1-art249:0.590;ICA-53-8-art162:0.587,ICA-96-1-art248,ICA-96-1-art255,1,0.4000,1.0000,1.0000,True
Q005,Como representar o perfil de cada pista e zona de parada na carta?,retrieval,ICA-96-1-art96:relevant,ICA-96-1-art96:0.736;ICA-96-1-art480:0.687;ICA-96-1-art157:0.677;ICA-96-1-art113:0.671;ICA-96-1-art370:0.669,ICA-96-1-art96,,1,0.2000,1.0000,1.0000,True
Q006,Qual escala horizontal usar para perfil de terreno além de 900m da pista?,retrieval,ICA-96-1-art121:relevant,ICA-96-1-art98:0.638;ICA-96-1-art476:0.598;ICA-96-1-art90:0.596;ICA-96-1-art121:0.593;ICA-105-15-art87:0.587,ICA-96-1-art121,,4,0.2000,1.0000,0.4307,True
Q007,Como indicar na carta quando ela não está desenhada em escala?,retrieval,ICA-96-1-art179:relevant;ICA-96-1-art204:moderate,ICA-96-1-art204:0.631;ICA-96-1-art179:0.627;ICA-96-1-art178:0.620;ICA-96-1-art133:0.559;ICA-96-1-art444:0.557,ICA-96-1-art179,ICA-96-1-art204,2,0.4000,1.0000,0.8597,True
Q008,Para que servem as cartas de voo visual a baixas altitudes?,retrieval,ICA-96-1-art485:relevant,ICA-100-37-art619:0.559;ICA-100-37-art13:0.558;ICA-100-37-art634:0.539;ICA-53-1-art9-10:0.530;ICA-105-17-art153-1:0.529,,,N/A,0.0000,0.0000,0.0000,False
Q009,Como identificar a carta pelo nome da cidade e aeródromo?,retrieval,ICA-96-1-art323:relevant,ICA-96-1-art292:0.767;ICA-96-1-art343:0.750;ICA-96-1-art333:0.739;ICA-96-1-art101:0.711;ICA-96-1-art323:0.694,ICA-96-1-art323,,5,0.2000,1.0000,0.3869,True
Q010,O que são cartas GeoPDF georreferenciadas?,retrieval,ICA-96-1-art45:relevant,ICA-63-47-art162:0.565;ICA-96-1-art75:0.564;ICA-53-7-art15:0.557;ICA-96-1-art82:0.550;ICA-53-8-art146:0.524,,,N/A,0.0000,0.0000,0.0000,False
Q011,Quando a altitude mínima do setor não foi estabelecida o que representar na carta?,retrieval,ICA-96-1-art194:relevant;ICA-96-1-art219:moderate,ICA-96-1-art264:0.590;ICA-96-1-art218:0.583;ICA-96-1-art465:0.568;ICA-96-1-art193:0.562;ICA-96-1-art304:0.534,,,N/A,0.0000,0.0000,0.0000,False
Q012,Quais são os requisitos gerais para ser instrutor de IFCTA?,retrieval,ICA-100-47-art5:relevant,ICA-100-47-art19:0.612;ICA-100-47-art25:0.605;ICA-100-47-art16:0.575;ICA-100-47-art18:0.574;ICA-105-17-art39:0.573,,,N/A,0.0000,0.0000,0.0000,False
Q013,Quais critérios específicos para seleção de ATCO instrutor orgânico?,retrieval,ICA-100-47-art10:relevant,ICA-100-47-art1:0.747;ICA-100-47-art8:0.720;ICA-100-47-art18:0.692;ICA-100-47-art28:0.620;ICA-100-47-art10:0.610,ICA-100-47-art10,,5,0.2000,1.0000,0.3869,True
Q014,Quando a habilitação técnica do instrutor de IFCTA perde a validade?,retrieval,ICA-100-47-art14:relevant;ICA-100-47-art13:moderate,ICA-100-47-art14:0.668;ICA-100-47-art13:0.641;ICA-66-23-art149:0.568;ICA-66-23-art152:0.560;ICA-100-23-art62:0.552,ICA-100-47-art14,ICA-100-47-art13,1,0.4000,1.0000,1.0000,True
Q015,Qual a validade da habilitação técnica para instrutor de IFCTA?,retrieval,ICA-100-47-art12:relevant,ICA-100-47-art19:0.599;ICA-100-47-art13:0.590;ICA-100-47-art10:0.569;ICA-66-23-art78:0.558;ICA-100-47-art7:0.554,,,N/A,0.0000,0.0000,0.0000,False
Q016,Como funciona a avaliação instrucional do instrutor orgânico?,retrieval,ICA-100-47-art19:relevant;ICA-100-47-art20:moderate,ICA-100-47-art19:0.695;ICA-100-47-art18:0.670;ICA-100-47-art8:0.649;ICA-100-47-art1:0.649;ICA-100-47-art10:0.573,ICA-100-47-art19,,1,0.2000,0.5000,0.7602,True
Q017,Qual é a composição do Conselho de Instrução da IFCTA?,retrieval,ICA-100-47-art30:relevant;ICA-100-47-art32:moderate,ICA-100-47-art25:0.647;ICA-100-47-art28:0.638;ICA-100-47-art35:0.584;ICA-100-47-art10:0.576;ICA-100-47-art16:0.566,,,N/A,0.0000,0.0000,0.0000,False
Q018,Sobre o que o Conselho de Instrução pode deliberar?,retrieval,ICA-100-47-art29:relevant,ICA-100-47-art35:0.600;ICA-100-47-art29:0.568;ICA-100-47-art41:0.566;ICA-100-47-art37:0.558;ICA-100-47-art25:0.543,ICA-100-47-art29,,2,0.2000,1.0000,0.6309,True
Q019,Qual nível de proficiência em inglês é exigido para instrutor de língua inglesa aeronáutica?,retrieval,ICA-100-47-art6:relevant,ICA-100-47-art6:0.730;ICA-37-924-art3-1:0.645;ICA-37-924-art3-16:0.634;ICA-37-924-art3-3:0.615;ICA-37-924-art3-21:0.613,ICA-100-47-art6,,1,0.2000,1.0000,1.0000,True
Q020,Como é calculado o conceito operacional de instrução?,retrieval,ICA-100-47-art24:relevant,ICA-63-45-art13:0.542;ICA-100-47-art19:0.518;ICA-100-47-art24:0.515;ICA-53-8-art83:0.512;ICA-100-47-art23:0.511,ICA-100-47-art24,,3,0.2000,1.0000,0.5000,True
Q021,Quem tem competência para conceder a HT para instrutor de IFCTA?,retrieval,ICA-100-47-art9:relevant,ICA-100-47-art16:0.701;ICA-100-47-art11:0.700;ICA-100-47-art12:0.644;ICA-100-47-art7:0.643;ICA-66-23-art126:0.633,,,N/A,0.0000,0.0000,0.0000,False
Q022,Como funciona o comitê de segurança da informação no DECEA?,retrieval,ICA-7-58:relevant,ICA-102-16-art13:0.644;ICA-63-51-art13:0.576;ICA-63-47-art7:0.559;ICA-800-3-art14:0.546;ICA-53-7-art48:0.535,,,N/A,0.0000,0.0000,0.0000,False
