query_id,query,category,expected_docs,retrieved_docs,relevant_found,moderate_found,first_relevant_rank,precision_at_k,recall,ndcg_at_k,hit
Q001,Qual artigo trata da proposta de cartas de corredores visuais?,retrieval,ICA-96-1-art563:relevant,ICA-96-1-art248:0.564;ICA-96-1-art96:0.552;ICA-96-1-art563:0.542;ICA-96-1-art364:0.524;ICA-96-1-art614:0.506,ICA-96-1-art563,,3,0.2000,1.0000,0.5000,True
Q002,Como solicitar divulgação de informação aeronáutica?,retrieval,ICA-96-1-art563:relevant;ICA-96-1-art591:moderate,ICA-96-1-art591:0.551;ICA-07-36:0.540;ICA-53-4-art1:0.532;ICA-96-1-art87:0.530;ICA-7-26:0.529,,ICA-96-1-art591,N/A,0.2000,0.5000,0.3801,True
Q003,Quais informações cada tipo de carta aeronáutica fornece?,retrieval,ICA-96-1-art12:relevant,ICA-96-1-art85:0.618;ICA-96-1-art16:0.612;ICA-96-1-art173:0.609;ICA-96-1-art576:0.598;ICA-96-1-art128:0.587,,,N/A,0.0000,0.0000,0.0000,False
Q004,O que diz sobre representação de obstáculos na vista de planta da carta?,retrieval,ICA-96-1-art248:relevant;ICA-96-1-art255:moderate,ICA-96-1-art248:0.636;ICA-96-1-art255:0.619;ICA-96-1-art249:0.590;ICA-96-1-art96:0.575;ICA-96-1-art296:0.559,ICA-96-1-art248,ICA-96-1-art255,1,0.4000,1.0000,1.0000,True
Q005,Como representar o perfil de cada pista e zona de parada na carta?,retrieval,ICA-96-1-art96:relevant,ICA-96-1-art96:0.736;ICA-96-1-art480:0.687;ICA-96-1-art157:0.677;ICA-96-1-art113:0.671;ICA-96-1-art370:0.669,ICA-96-1-art96,,1,0.2000,1.0000,1.0000,True
Q006,Qual escala horizontal usar para perfil de terreno além de 900m da pista?,retrieval,ICA-96-1-art121:relevant,ICA-96-1-art98:0.638;ICA-96-1-art476:0.598;ICA-96-1-art90:0.596;ICA-96-1-art121:0.593;ICA-96-1-art95:0.585,ICA-96-1-art121,,4,0.2000,1.0000,0.4307,True
Q007,Como indicar na carta quando ela não está desenhada em escala?,retrieval,ICA-96-1-art179:relevant;ICA-96-1-art204:moderate,ICA-96-1-art204:0.631;ICA-96-1-art179:0.627;ICA-96-1-art178:0.620;ICA-96-1-art444:0.563;ICA-96-1-art133:0.559,ICA-96-1-art179,ICA-96-1-art204,2,0.4000,1.0000,0.8597,True
Q008,Para que servem as cartas de voo visual a baixas altitudes?,retrieval,ICA-96-1-art485:relevant,ICA-96-1-art104:0.510;ICA-96-1-art269:0.478;ICA-96-1-art107:0.477;ICA-96-1-art485:0.471;ICA-96-1-art102:0.468,ICA-96-1-art485,,4,0.2000,1.0000,0.4307,True
Q009,Como identificar a carta pelo nome da cidade e aeródromo?,retrieval,ICA-96-1-art323:relevant,ICA-96-1-art292:0.767;ICA-96-1-art343:0.750;ICA-96-1-art333:0.739;ICA-96-1-art101:0.711;ICA-96-1-art323:0.694,ICA-96-1-art323,,5,0.2000,1.0000,0.3869,True
Q010,O que são cartas GeoPDF georreferenciadas?,retrieval,ICA-96-1-art45:relevant,ICA-96-1-art75:0.564;ICA-96-1-art82:0.550;ICA-96-1-art76:0.522;ICA-96-1-art550:0.519;ICA-96-1-art178:0.518,,,N/A,0.0000,0.0000,0.0000,False
Q011,Quando a altitude mínima do setor não foi estabelecida o que representar na carta?,retrieval,ICA-96-1-art194:relevant;ICA-96-1-art219:moderate,ICA-96-1-art264:0.590;ICA-96-1-art218:0.583;ICA-96-1-art465:0.568;ICA-96-1-art193:0.562;ICA-96-1-art304:0.534,,,N/A,0.0000,0.0000,0.0000,False
Q012,Quais são os requisitos gerais para ser instrutor de IFCTA?,retrieval,ICA-100-47-art5:relevant,ICA-100-47-art19:0.612;ICA-100-47-art25:0.605;ICA-37-937:0.597;ICA-100-12-art1:0.581;ICA-100-47-art18:0.574,,,N/A,0.0000,0.0000,0.0000,False
Q013,Quais critérios específicos para seleção de ATCO instrutor orgânico?,retrieval,ICA-100-47-art10:relevant,ICA-100-47-art1:0.740;ICA-100-47-art8:0.720;ICA-100-47-art18:0.692;ICA-100-47-art28:0.620;ICA-100-47-art10:0.610,ICA-100-47-art10,,5,0.2000,1.0000,0.3869,True
Q014,Quando a habilitação técnica do instrutor de IFCTA perde a validade?,retrieval,ICA-100-47-art14:relevant;ICA-100-47-art13:moderate,ICA-100-47-art14:0.668;ICA-100-47-art13:0.639;ICA-100-47-art9:0.524;ICA-100-47-art29:0.519;ICA-100-47-art12:0.502,ICA-100-47-art14,ICA-100-47-art13,1,0.4000,1.0000,1.0000,True
Q015,Qual a validade da habilitação técnica para instrutor de IFCTA?,retrieval,ICA-100-47-art12:relevant,ICA-100-47-art19:0.599;ICA-100-47-art13:0.591;ICA-100-47-art10:0.569;ICA-100-47-art7:0.556;ICA-100-47-art21:0.545,,,N/A,0.0000,0.0000,0.0000,False
Q016,Como funciona a avaliação instrucional do instrutor orgânico?,retrieval,ICA-100-47-art19:relevant;ICA-100-47-art20:moderate,ICA-100-47-art19:0.695;ICA-100-47-art18:0.670;ICA-100-47-art8:0.649;ICA-100-47-art1:0.637;ICA-100-47-art10:0.573,ICA-100-47-art19,,1,0.2000,0.5000,0.7602,True
Q017,Qual é a composição do Conselho de Instrução da IFCTA?,retrieval,ICA-100-47-art30:relevant;ICA-100-47-art32:moderate,ICA-100-47-art25:0.647;ICA-100-47-art28:0.638;ICA-100-47-art35:0.584;ICA-100-47-art10:0.576;ICA-100-47-art16:0.561,,,N/A,0.0000,0.0000,0.0000,False
Q018,Sobre o que o Conselho de Instrução pode deliberar?,retrieval,ICA-100-47-art29:relevant,ICA-100-47-art35:0.600;ICA-100-47-art29:0.568;ICA-100-47-art41:0.566;ICA-100-47-art37:0.558;ICA-100-47-art25:0.543,ICA-100-47-art29,,2,0.2000,1.0000,0.6309,True
